order_id,customer_id,product_id,order_date,quantity,unit_price,order_status,country
1,89,5,2022-03-30,1,79.99,Completed,Japan
2,760,1,2022-03-22,1,89.99,Completed,Mexico
3,760,2,2022-03-22,1,149.99,Completed,Mexico
4,336,4,2022-04-03,1,329.99,Completed,USA
5,336,7,2022-04-03,2,999.99,Completed,USA
6,155,3,2022-04-01,1,59.99,Completed,Singapore
7,155,8,2022-04-01,1,199.99,Completed,Singapore
8,140,2,2022-04-25,1,149.99,Completed,Brazil
9,140,4,2022-04-25,1,329.99,Completed,Brazil
10,722,2,2022-04-23,1,149.99,Completed,Mexico
11,570,1,2022-05-24,1,89.99,Completed,Canada
12,95,1,2022-05-29,2,89.99,Completed,USA
13,95,11,2022-05-29,2,34.99,Completed,USA
14,393,7,2022-05-05,1,999.99,Completed,Germany
15,497,4,2022-05-12,1,329.99,Completed,USA
16,497,4,2022-05-12,1,329.99,Returned,USA
17,497,9,2022-05-12,1,49.99,Completed,USA
18,239,7,2022-05-06,1,999.99,Completed,Mexico
19,58,6,2022-05-25,2,29.99,Completed,Japan
20,58,10,2022-05-25,1,249.99,Completed,Japan
21,29,6,2022-05-23,1,29.99,Completed,Brazil
22,29,4,2022-05-23,1,329.99,Returned,Brazil
23,29,7,2022-05-23,1,999.99,Returned,Brazil
24,722,1,2022-06-30,1,89.99,Completed,Mexico
25,722,1,2022-06-22,1,89.99,Completed,Mexico
26,576,9,2022-06-23,1,49.99,Completed,United Kingdom
27,576,9,2022-06-23,2,49.99,Completed,United Kingdom
28,576,8,2022-06-23,1,199.99,Completed,United Kingdom
29,227,12,2022-06-21,1,14.99,Completed,Germany
30,842,11,2022-06-23,2,34.99,Returned,USA
31,842,2,2022-06-23,1,149.99,Completed,USA
32,842,9,2022-06-23,1,49.99,Completed,USA
33,171,11,2022-06-29,1,34.99,Completed,Australia
34,808,8,2022-06-28,2,199.99,Completed,Australia
35,808,4,2022-06-28,1,329.99,Completed,Australia
36,808,8,2022-06-28,1,199.99,Completed,Australia
37,722,7,2022-06-01,2,999.99,Completed,Mexico
38,340,8,2022-06-07,1,199.99,Completed,USA
39,340,4,2022-06-07,1,329.99,Returned,USA
40,438,7,2022-06-03,2,999.99,Completed,Japan
41,485,9,2022-06-28,2,49.99,Completed,Brazil
42,658,4,2022-06-18,2,329.99,Completed,USA
43,155,1,2022-06-25,1,89.99,Completed,Singapore
44,155,4,2022-06-25,1,329.99,Completed,Singapore
45,151,2,2022-07-04,1,149.99,Completed,USA
46,151,7,2022-07-04,2,999.99,Completed,USA
47,570,10,2022-07-13,2,249.99,Completed,Canada
48,639,4,2022-07-19,2,329.99,Completed,Canada
49,777,6,2022-07-31,1,29.99,Completed,USA
50,777,10,2022-07-31,1,249.99,Completed,USA
51,271,7,2022-07-13,1,999.99,Completed,Canada
52,271,4,2022-07-13,2,329.99,Returned,Canada
53,271,11,2022-07-13,1,34.99,Completed,Canada
54,346,3,2022-07-27,2,59.99,Completed,Germany
55,346,8,2022-07-27,1,199.99,Completed,Germany
56,762,3,2022-07-15,2,59.99,Completed,Singapore
57,762,1,2022-07-15,2,89.99,Completed,Singapore
58,417,5,2022-07-24,1,79.99,Completed,Germany
59,727,8,2022-07-17,1,199.99,Completed,USA
60,256,8,2022-07-02,1,199.99,Completed,United Kingdom
61,651,1,2022-07-30,1,89.99,Completed,Australia
62,29,10,2022-07-13,1,249.99,Completed,Brazil
63,699,2,2022-07-01,1,149.99,Completed,Germany
64,727,11,2022-07-21,1,34.99,Completed,USA
65,534,7,2022-07-27,1,999.99,Completed,USA
66,306,1,2022-07-22,1,89.99,Completed,Canada
67,306,8,2022-07-07,1,199.99,Completed,Canada
68,677,1,2022-07-11,2,89.99,Completed,Brazil
69,677,4,2022-07-11,2,329.99,Completed,Brazil
70,677,12,2022-07-11,1,14.99,Completed,Brazil
71,804,4,2022-07-16,1,329.99,Completed,Brazil
72,804,10,2022-07-16,1,249.99,Completed,Brazil
73,804,5,2022-07-16,1,79.99,Completed,Brazil
74,697,1,2022-07-29,1,89.99,Completed,United Kingdom
75,431,3,2022-08-26,1,59.99,Completed,Canada
76,431,1,2022-08-26,1,89.99,Completed,Canada
77,200,7,2022-08-17,1,999.99,Completed,USA
78,155,4,2022-08-05,2,329.99,Completed,Singapore
79,155,10,2022-08-05,1,249.99,Completed,Singapore
80,5,8,2022-08-15,1,199.99,Completed,United Kingdom
81,502,2,2022-08-26,2,149.99,Completed,France
82,502,4,2022-08-26,2,329.99,Completed,France
83,39,4,2022-08-18,1,329.99,Completed,France
84,19,8,2022-08-22,1,199.99,Completed,France
85,393,2,2022-08-17,1,149.99,Completed,Germany
86,346,4,2022-08-14,2,329.99,Completed,Germany
87,346,2,2022-08-14,2,149.99,Returned,Germany
88,217,5,2022-08-24,1,79.99,Completed,United Kingdom
89,39,8,2022-08-13,1,199.99,Completed,France
90,39,1,2022-08-13,1,89.99,Completed,France
91,50,5,2022-08-23,1,79.99,Completed,France
92,211,4,2022-08-23,1,329.99,Completed,Mexico
93,211,3,2022-08-23,1,59.99,Completed,Mexico
94,804,7,2022-08-04,1,999.99,Completed,Brazil
95,721,1,2022-08-14,2,89.99,Completed,USA
96,493,1,2022-08-11,1,89.99,Completed,Canada
97,741,3,2022-08-24,1,59.99,Completed,France
98,271,9,2022-08-15,1,49.99,Completed,Canada
99,437,10,2022-08-24,1,249.99,Returned,USA
100,275,9,2022-08-29,1,49.99,Completed,Brazil
101,275,4,2022-08-29,2,329.99,Completed,Brazil
102,171,8,2022-08-04,1,199.99,Completed,Australia
103,65,8,2022-09-09,1,199.99,Completed,Mexico
104,65,7,2022-09-09,1,999.99,Completed,Mexico
105,657,9,2022-09-13,1,49.99,Returned,Germany
106,247,5,2022-09-11,2,79.99,Completed,Germany
107,247,7,2022-09-11,2,999.99,Completed,Germany
108,510,4,2022-09-24,1,329.99,Completed,Germany
109,510,1,2022-09-24,1,89.99,Completed,Germany
110,521,7,2022-09-18,1,999.99,Returned,USA
111,340,5,2022-09-18,1,79.99,Completed,USA
112,340,1,2022-09-18,1,89.99,Returned,USA
113,340,4,2022-09-18,1,329.99,Completed,USA
114,169,7,2022-09-16,2,999.99,Completed,Australia
115,469,7,2022-09-27,2,999.99,Completed,France
116,469,1,2022-09-27,2,89.99,Completed,France
117,469,8,2022-09-27,2,199.99,Completed,France
118,521,8,2022-09-25,1,199.99,Completed,USA
119,521,4,2022-09-25,1,329.99,Completed,USA
120,617,4,2022-09-23,1,329.99,Completed,Germany
121,617,8,2022-09-23,1,199.99,Completed,Germany
122,617,11,2022-09-23,1,34.99,Completed,Germany
123,183,7,2022-09-17,1,999.99,Completed,Canada
124,576,12,2022-09-16,2,14.99,Completed,United Kingdom
125,433,1,2022-09-26,2,89.99,Completed,France
126,58,9,2022-09-07,1,49.99,Completed,Japan
127,64,8,2022-09-23,1,199.99,Completed,USA
128,64,5,2022-09-23,1,79.99,Completed,USA
129,804,8,2022-09-26,1,199.99,Completed,Brazil
130,804,4,2022-09-26,1,329.99,Completed,Brazil
131,14,7,2022-09-24,2,999.99,Completed,Japan
132,722,8,2022-09-23,1,199.99,Completed,Mexico
133,387,6,2022-09-02,1,29.99,Completed,USA
134,727,2,2022-09-30,1,149.99,Completed,USA
135,809,1,2022-09-19,1,89.99,Completed,USA
136,534,4,2022-09-03,2,329.99,Completed,USA
137,534,3,2022-09-03,1,59.99,Completed,USA
138,340,12,2022-10-12,2,14.99,Completed,USA
139,247,3,2022-10-29,1,59.99,Completed,Germany
140,247,11,2022-10-29,1,34.99,Completed,Germany
141,247,3,2022-10-29,1,59.99,Completed,Germany
142,99,6,2022-10-06,1,29.99,Completed,USA
143,99,7,2022-10-06,1,999.99,Completed,USA
144,99,4,2022-10-06,1,329.99,Completed,USA
145,760,9,2022-10-25,1,49.99,Completed,Mexico
146,340,1,2022-10-02,1,89.99,Completed,USA
147,842,4,2022-10-08,2,329.99,Completed,USA
148,842,1,2022-10-08,1,89.99,Completed,USA
149,657,8,2022-10-24,1,199.99,Completed,Germany
150,75,3,2022-10-12,1,59.99,Completed,Mexico
151,75,11,2022-10-12,2,34.99,Completed,Mexico
152,486,2,2022-10-06,2,149.99,Completed,Australia
153,650,11,2022-10-05,1,34.99,Returned,Japan
154,43,4,2022-10-01,1,329.99,Completed,Mexico
155,760,4,2022-10-29,1,329.99,Completed,Mexico
156,760,3,2022-10-29,1,59.99,Completed,Mexico
157,186,10,2022-10-22,2,249.99,Completed,Germany
158,186,1,2022-10-22,1,89.99,Completed,Germany
159,103,4,2022-10-10,2,329.99,Completed,Brazil
160,103,8,2022-10-10,1,199.99,Completed,Brazil
161,324,1,2022-10-31,1,89.99,Completed,Mexico
162,657,4,2022-10-14,1,329.99,Completed,Germany
163,474,7,2022-10-15,1,999.99,Completed,Canada
164,642,10,2022-10-03,1,249.99,Completed,Brazil
165,642,8,2022-10-03,1,199.99,Completed,Brazil
166,402,7,2022-10-08,1,999.99,Completed,United Kingdom
167,402,4,2022-10-08,1,329.99,Completed,United Kingdom
168,402,9,2022-10-08,1,49.99,Completed,United Kingdom
169,164,7,2022-10-06,1,999.99,Completed,France
170,164,4,2022-10-06,1,329.99,Completed,France
171,164,4,2022-10-06,1,329.99,Completed,France
172,370,5,2022-10-13,1,79.99,Completed,Australia
173,721,10,2022-10-31,1,249.99,Completed,USA
174,362,9,2022-10-27,1,49.99,Completed,Singapore
175,362,2,2022-10-27,1,149.99,Completed,Singapore
176,154,7,2022-10-06,1,999.99,Completed,USA
177,425,1,2022-10-26,2,89.99,Completed,Australia
178,151,11,2022-11-02,2,34.99,Completed,USA
179,737,12,2022-11-24,1,14.99,Completed,USA
180,737,12,2022-11-24,2,14.99,Completed,USA
181,639,2,2022-11-22,1,149.99,Completed,Canada
182,388,1,2022-11-13,2,89.99,Completed,Australia
183,182,1,2022-11-16,1,89.99,Completed,Australia
184,182,7,2022-11-16,1,999.99,Completed,Australia
185,182,9,2022-11-16,2,49.99,Completed,Australia
186,380,6,2022-11-28,1,29.99,Completed,Brazil
187,788,9,2022-11-13,1,49.99,Completed,Australia
188,239,7,2022-11-30,2,999.99,Completed,Mexico
189,239,1,2022-11-30,1,89.99,Completed,Mexico
190,211,4,2022-11-23,1,329.99,Completed,Mexico
191,211,7,2022-11-23,1,999.99,Completed,Mexico
192,697,6,2022-11-13,2,29.99,Completed,United Kingdom
193,697,6,2022-11-13,2,29.99,Completed,United Kingdom
194,592,8,2022-11-12,1,199.99,Completed,Canada
195,592,5,2022-11-12,1,79.99,Completed,Canada
196,521,8,2022-11-13,1,199.99,Returned,USA
197,521,1,2022-11-13,1,89.99,Completed,USA
198,521,4,2022-11-13,1,329.99,Returned,USA
199,394,7,2022-11-30,1,999.99,Completed,Brazil
200,394,7,2022-11-30,1,999.99,Completed,Brazil
201,394,5,2022-11-30,1,79.99,Completed,Brazil
202,531,9,2022-11-10,1,49.99,Completed,United Kingdom
203,369,1,2022-11-08,1,89.99,Completed,Canada
204,369,4,2022-11-08,2,329.99,Completed,Canada
205,531,11,2022-11-01,1,34.99,Completed,United Kingdom
206,531,7,2022-11-01,1,999.99,Completed,United Kingdom
207,621,4,2022-11-07,1,329.99,Completed,USA
208,417,1,2022-11-17,1,89.99,Completed,Germany
209,120,3,2022-11-26,1,59.99,Completed,Canada
210,387,3,2022-11-19,1,59.99,Completed,USA
211,698,5,2022-11-15,1,79.99,Completed,Mexico
212,698,7,2022-11-15,1,999.99,Completed,Mexico
213,324,4,2022-11-14,1,329.99,Completed,Mexico
214,324,9,2022-11-14,1,49.99,Completed,Mexico
215,324,4,2022-11-14,1,329.99,Completed,Mexico
216,212,3,2022-11-08,1,59.99,Completed,France
217,110,12,2022-11-04,2,14.99,Completed,Canada
218,110,6,2022-11-04,1,29.99,Completed,Canada
219,110,4,2022-11-04,1,329.99,Completed,Canada
220,769,6,2022-11-19,2,29.99,Completed,USA
221,515,8,2022-11-12,1,199.99,Completed,Mexico
222,124,8,2022-11-23,1,199.99,Completed,Japan
223,124,1,2022-11-23,1,89.99,Completed,Japan
224,216,4,2022-11-14,2,329.99,Completed,Singapore
225,216,2,2022-11-14,1,149.99,Completed,Singapore
226,103,3,2022-11-24,2,59.99,Completed,Brazil
227,154,4,2022-11-16,1,329.99,Completed,USA
228,154,10,2022-11-16,1,249.99,Completed,USA
229,257,8,2022-11-18,1,199.99,Completed,Germany
230,257,7,2022-11-18,2,999.99,Completed,Germany
231,369,9,2022-11-18,1,49.99,Returned,Canada
232,621,7,2022-11-07,1,999.99,Completed,USA
233,364,9,2022-11-11,2,49.99,Completed,United Kingdom
234,364,4,2022-11-11,1,329.99,Completed,United Kingdom
235,656,7,2022-11-26,2,999.99,Returned,USA
236,656,2,2022-11-26,1,149.99,Completed,USA
237,728,4,2022-11-09,2,329.99,Completed,Canada
238,372,12,2022-11-24,2,14.99,Completed,France
239,762,2,2022-11-23,1,149.99,Completed,Singapore
240,762,12,2022-11-23,2,14.99,Completed,Singapore
241,86,2,2022-11-04,2,149.99,Completed,Brazil
242,254,7,2022-11-24,1,999.99,Completed,USA
243,334,12,2022-11-28,1,14.99,Completed,Mexico
244,182,7,2022-11-19,2,999.99,Completed,Australia
245,655,4,2022-11-18,1,329.99,Completed,USA
246,11,8,2022-11-01,1,199.99,Completed,Japan
247,504,1,2022-11-25,2,89.99,Completed,United Kingdom
248,612,4,2022-11-08,2,329.99,Completed,Canada
249,612,5,2022-11-08,1,79.99,Completed,Canada
250,612,8,2022-11-08,2,199.99,Completed,Canada
251,433,8,2022-12-21,1,199.99,Completed,France
252,829,10,2022-12-09,1,249.99,Completed,Japan
253,279,2,2022-12-23,1,149.99,Completed,Singapore
254,548,1,2022-12-01,1,89.99,Completed,Singapore
255,449,1,2022-12-24,1,89.99,Completed,Brazil
256,320,5,2022-12-26,1,79.99,Completed,France
257,320,10,2022-12-26,1,249.99,Completed,France
258,795,5,2022-12-13,1,79.99,Completed,Canada
259,257,1,2022-12-27,1,89.99,Completed,Germany
260,254,5,2022-12-24,1,79.99,Completed,USA
261,254,12,2022-12-24,2,14.99,Completed,USA
262,320,7,2022-12-30,1,999.99,Completed,France
263,534,7,2022-12-04,1,999.99,Completed,USA
264,224,4,2022-12-04,1,329.99,Completed,Mexico
265,809,1,2022-12-08,2,89.99,Completed,USA
266,381,2,2022-12-25,1,149.99,Completed,Japan
267,778,4,2022-12-21,1,329.99,Completed,Canada
268,239,8,2022-12-11,2,199.99,Completed,Mexico
269,239,1,2022-12-11,2,89.99,Completed,Mexico
270,239,2,2022-12-11,1,149.99,Completed,Mexico
271,449,8,2022-12-18,1,199.99,Completed,Brazil
272,750,4,2022-12-15,1,329.99,Completed,USA
273,555,9,2022-12-12,2,49.99,Completed,Germany
